mmsi,length,width,to_bow,to_stern,to_port,to_starboard,Embarcacion,area_m2,Unnamed: 9,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,1,T315,6,0.0,774.0,11986.0,0.0,0.0,0.0,0.0,12760.0,2204.565,5880.839275285824
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,1,T315,5,326.0,0.0,2280.0,0.0,0.0,0.0,0.0,2606.0,692.327,1050.550311775947
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,1,T315,1,252.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,90.4935648669634
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,1,T315,11,223.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,7.698203205464261
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,1,T315,10,101.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,50.05982160728843
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,3,T315,9,644.0,0.0,7536.0,0.0,0.0,0.0,0.0,8180.0,3274.96,3351.48742794308
760000070,44.0,8.0,6.0,38.0,4.0,4.0,TASA 315,352.0,,BRAVO 7,3,T315,2,15.0,679.0,9318.0,0.0,0.0,0.0,0.0,10012.0,2588.155,4410.484745031586
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,7,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,345.5257886710817
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,4,680.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,135.86793526230446
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,3,269.0,2620.0,21590.0,0.0,0.0,0.0,0.0,24479.0,2395.699999999999,4498.574364828976
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,0,1000.0,0.0,4420.0,0.0,0.0,0.0,0.0,5420.0,792.4850000000001,1229.0525207030907
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,8,50.0,0.0,29050.0,0.0,0.0,0.0,0.0,29100.0,6129.280000000001,6655.254669816053
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,6,0.0,1600.0,28451.0,0.0,0.0,0.0,0.0,30051.0,3205.575,7138.719550440856
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,5,1170.0,200.0,7200.0,0.0,0.0,0.0,0.0,8570.0,988.925,1516.3445417391822
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,90.4935648669634
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,11,360.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,121.16620669435692
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,2,T425,10,101.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,90.4935648669634
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,3,T425,9,3769.0,0.0,14070.0,0.0,0.0,0.0,0.0,17839.0,2643.98,4775.441414210689
760000080,44.0,10.0,5.0,39.0,5.0,5.0,TASA 425,440.0,,BRAVO 9,3,T425,2,370.0,550.0,18570.0,0.0,0.0,0.0,0.0,19490.0,3384.37,5646.586342638913
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,7,920.0,0.0,0.0,0.0,0.0,3050.0,2250.0,6220.0,263.809,1217.0169882268913
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,4,360.0,0.0,0.0,0.0,0.0,21230.0,0.0,21590.0,1777.155,4451.150959391498
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,3,0.0,520.0,24390.0,0.0,0.0,0.0,0.0,24910.0,2578.815000000001,5414.11695089513
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,0,860.0,0.0,5670.0,0.0,0.0,0.0,0.0,6530.0,1360.055,3505.2646349355423
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,8,350.0,50.0,25670.0,0.0,0.0,0.0,0.0,26070.0,4920.44,7081.048902895669
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,6,0.0,0.0,29430.0,0.0,0.0,0.0,0.0,29430.0,4359.389999999999,7330.235061612257
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,5,400.0,970.0,5250.0,0.0,0.0,0.0,0.0,6620.0,942.295,1134.6420277270684
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,1,750.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,135.86793526230446
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,11,831.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0,0.0,135.86793526230446
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,4,T058,10,514.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,106.20075677534852
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,1,T058,9,5585.0,0.0,14600.0,0.0,0.0,0.0,0.0,20185.0,2775.945,5339.060198072452
760000170,48.0,10.0,8.0,40.0,5.0,5.0,TASA 58,480.0,,COPETSA 2,1,T058,2,0.0,0.0,35250.0,0.0,0.0,0.0,0.0,35250.0,6515.395,6498.014112590665
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,7,394.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,54.66990042894258
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,90.4935648669634
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,3,4.0,485.0,2040.0,0.0,0.0,0.0,0.0,2529.0,561.365,1830.900920003482
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,0,194.0,0.0,1770.0,0.0,0.0,0.0,0.0,1964.0,219.925,1058.858971356265
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,8,33.0,1055.0,5307.0,0.0,0.0,0.0,0.0,6395.0,1382.593,4536.714754569361
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,6,687.0,0.0,4630.0,0.0,0.0,0.0,0.0,5317.0,832.155,3895.998501531928
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,5,828.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,382.3205018400233
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,1,130.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,20.90673755678038
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,11,180.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,21.08959829119639
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,1,T220,10,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,49.00709166152777
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,2,T220,9,361.0,0.0,4365.0,0.0,0.0,0.0,0.0,4726.0,1751.815,2923.842327788917
760000180,28.0,7.0,9.0,19.0,2.0,5.0,TASA 220,196.0,,MACABI 3,2,T220,2,100.0,770.0,4535.0,0.0,0.0,0.0,0.0,5405.0,1479.495,3916.041924521355
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,7,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.0,0.0,56.45740875262386
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,4,0.0,0.0,0.0,0.0,0.0,31090.0,0.0,31090.0,2592.032,5546.532237711447
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,3,900.0,4480.0,25770.0,0.0,0.0,0.0,2660.0,33810.0,1741.95,6916.107839328937
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,0,1120.0,0.0,7920.0,0.0,0.0,0.0,0.0,9040.0,1276.515,1891.865297428305
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,8,130.0,300.0,34788.0,0.0,0.0,0.0,0.0,35218.0,4552.817,6712.538487947007
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,6,630.0,0.0,40330.0,0.0,0.0,0.0,0.0,40960.0,3572.003,7401.092576720443
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,5,1140.0,900.0,6990.0,0.0,0.0,0.0,0.0,9030.0,739.527,1384.103433821967
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,1,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,0.0,57.52003810011972
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,11,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,0.0,104.6077993806305
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,4,T059,10,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,37.49056003729953
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,2,T059,9,1359.0,0.0,22980.0,0.0,0.0,0.0,0.0,24339.0,2674.68,4465.448934912632
760000230,51.0,10.0,5.0,46.0,5.0,5.0,TASA 59,510.0,,COPETSA 1,2,T059,2,0.0,0.0,43620.0,0.0,0.0,0.0,0.0,43620.0,4215.315,8095.853456936085
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,7,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,9.303399043737342
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,4,1220.0,0.0,0.0,0.0,0.0,8130.0,750.0,10100.0,644.825,2474.025209862699
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,3,200.0,2450.0,19200.0,0.0,0.0,0.0,0.0,21850.0,2217.255,6422.766627835034
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,0,800.0,0.0,5050.0,0.0,0.0,0.0,0.0,5850.0,913.49,1181.411501617293
