Embarcacion,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
TASA 71,DON ABRAHAM,4,T071,FEBRERO,0.0,0.0,0.0,0.0,0.0,34415.0,6820.0,41235.0,3638.173,6617.729814184911
TASA 111,CAPLINA 8,1,T111,ENERO,0.0,257.0,3008.0,0.0,0.0,0.0,0.0,3265.0,650.0100000000001,2492.013748114356
TASA 17,RIMAC 4,1,T017,ENERO,0.0,0.0,6341.0,0.0,0.0,0.0,0.0,6341.0,996.805,4585.339034292751
TASA 21,LOBO I,3,T021,ENERO,311.0,1316.0,8463.0,0.0,0.0,0.0,0.0,10090.0,1662.425,4549.753336333692
TASA 210,PIZARRO 10,3,T210,ENERO,316.2,521.0,5250.0,0.0,0.0,0.0,0.0,6087.2,1650.805,3459.5044390251337
TASA 218,BRAVO 10,1,T218,ENERO,0.0,1000.0,9740.0,0.0,0.0,0.0,0.0,10740.0,1284.52,6512.305080172756
TASA 22,MAYTE,3,T022,ENERO,0.0,646.0,9810.0,0.0,0.0,0.0,0.0,10456.0,1658.945,5999.789117402265
TASA 220,MACABI 3,1,T220,ENERO,4.0,485.0,2040.0,0.0,0.0,0.0,0.0,2529.0,561.365,1830.900920003482
TASA 23,LOBO II,3,T023,ENERO,80.0,710.0,1210.0,0.0,0.0,0.0,0.0,2000.0,228.195,883.1320272028107
TASA 31,JAYANCA,1,T031,ENERO,0.0,300.0,7665.0,0.0,0.0,0.0,0.0,7965.0,2188.61,5033.734674696574
TASA 310,ZAÑA,1,T310,ENERO,0.0,2502.0,7630.0,0.0,0.0,0.0,0.0,10132.0,1159.185,3999.332660545225
TASA 314,CONTUMAZA 4,1,T314,ENERO,0.0,2820.0,11770.0,0.0,0.0,0.0,0.0,14590.0,1792.525,5476.348558863964
TASA 315,BRAVO 7,1,T315,ENERO,360.0,2255.0,10094.0,0.0,0.0,0.0,0.0,12709.0,2204.66,5548.749116815605
TASA 32,PEGASO,3,T032,ENERO,0.0,1662.0,10527.0,0.0,0.0,0.0,0.0,12189.0,2029.45,5850.126337540083
TASA 34,SAMOA,3,T034,ENERO,0.0,1220.0,11070.0,0.0,0.0,0.0,0.0,12290.0,2005.265,5083.327962370519
TASA 35,PUNTA SAL,3,T035,ENERO,0.0,1760.0,7950.0,0.0,0.0,0.0,0.0,9710.0,2093.475,2844.063452975385
TASA 36,FLAMINGO,3,T036,ENERO,0.0,3945.0,6995.0,0.0,0.0,0.0,0.0,10940.0,1277.005,6186.525177144613
TASA 37,COSTA AZUL,3,T037,ENERO,315.0,2270.0,5200.0,0.0,0.0,0.0,0.0,7785.0,1692.335,2054.414142824005
TASA 38,TARATA 3,3,T038,ENERO,0.0,1855.0,7200.0,0.0,0.0,0.0,0.0,9055.0,1985.815,4206.256414399714
TASA 41,DON ANGEL,4,T041,ENERO,300.0,1570.0,20980.0,0.0,0.0,0.0,0.0,22850.0,2215.29,5921.53439757146
TASA 411,SIPAN,2,T411,ENERO,0.0,550.0,15258.0,0.0,0.0,0.0,0.0,15808.0,1789.795,6004.972922435922
TASA 412,SECHIN II,2,T412,ENERO,255.0,4350.0,11330.0,0.0,0.0,0.0,0.0,15935.0,2150.175,6761.463109253802
TASA 413,OLMOS II,2,T413,ENERO,150.0,3560.0,10000.0,0.0,0.0,0.0,0.0,13710.0,2140.08,5974.731143175686
TASA 414,ESTRELLA,2,T414,ENERO,0.0,1880.0,13380.0,0.0,0.0,0.0,0.0,15260.0,2654.46,3.630326846768772
TASA 415,INDEPENDENCIA I,2,T415,ENERO,0.0,3165.0,13495.0,0.0,0.0,0.0,0.0,16660.0,2193.2,4835.065925793272
TASA 416,SALKANTAY,2,T416,ENERO,80.0,3170.0,12030.0,0.0,0.0,0.0,0.0,15280.0,1959.46,4921.9711052914845
TASA 417,INANSA,2,T417,ENERO,0.0,3366.0,11122.0,0.0,0.0,0.0,0.0,14488.0,2279.829999999999,6933.130553479384
TASA 418,INDEPENDENCIA II,2,T418,ENERO,0.0,2140.0,13310.0,0.0,0.0,0.0,0.0,15450.0,2119.06,6861.072686022233
TASA 419,DOÑA BEILA,4,T419,ENERO,50.0,3250.0,15600.0,0.0,0.0,2950.0,0.0,21850.0,2037.185,6525.491864840887
TASA 42,CARMEN LUISA,4,T042,ENERO,0.0,0.0,33200.0,0.0,0.0,0.0,0.0,33200.0,1370.495,6818.24274599769
TASA 420,GUILLERMO,2,T420,ENERO,300.0,3400.0,12050.0,0.0,0.0,0.0,0.0,15750.0,1943.19,6625.759086041189
TASA 424,BRAVO 4,3,T424,ENERO,328.0,3015.0,9235.0,0.0,0.0,0.0,0.0,12578.0,1511.195,6253.078700055769
TASA 425,BRAVO 9,2,T425,ENERO,269.0,2620.0,21590.0,0.0,0.0,0.0,0.0,24479.0,2395.699999999999,4498.574364828976
TASA 426,DON ENRIQUE,3,T426,ENERO,0.0,1710.0,14430.0,0.0,0.0,0.0,0.0,16140.0,1890.195,6280.1119313986665
TASA 427,ESTHER 7,4,T427,ENERO,0.0,2400.0,21450.0,0.0,0.0,0.0,0.0,23850.0,1652.985,4395.162904964616
TASA 43,TASA 43,2,T043,ENERO,0.0,6060.0,18590.0,0.0,0.0,0.0,0.0,24650.0,2259.14,7039.583521036127
TASA 44,TASA 44,2,T044,ENERO,270.0,2960.0,18810.0,0.0,0.0,0.0,0.0,22040.0,1415.64,5593.409235934381
TASA 45,TASA 45,2,T045,ENERO,190.0,2390.0,23820.0,0.0,0.0,0.0,0.0,26400.0,2398.565,4572.745684633958
TASA 51,SIPESA 63,4,T051,ENERO,0.0,980.0,30110.0,0.0,0.0,0.0,0.0,31090.0,2850.16,7171.951528332164
TASA 52,SIPESA 62,4,T052,ENERO,215.0,1325.0,31865.0,0.0,0.0,0.0,0.0,33405.0,1653.045,6605.997180229317
TASA 53,MARU 2,4,T053,ENERO,0.0,3020.0,22820.0,0.0,0.0,0.0,0.0,25840.0,1606.8,4614.964056277605
TASA 54,JAVIER,4,T054,ENERO,260.0,6055.0,24962.0,0.0,0.0,0.0,0.0,31277.0,2033.68,7093.857800018646
TASA 55,TASA 55,4,T055,ENERO,40.0,2220.0,29650.0,0.0,0.0,0.0,0.0,31910.0,1902.84,7237.440441281005
TASA 56,SANTA ENMA,4,T056,ENERO,700.0,1810.0,35100.0,0.0,0.0,3520.0,0.0,41130.0,2731.142,8809.799960280983
TASA 57,COPETSA 4,4,T057,ENERO,200.0,2450.0,19200.0,0.0,0.0,0.0,0.0,21850.0,2217.255,6422.766627835034
TASA 58,COPETSA 2,4,T058,ENERO,0.0,520.0,24390.0,0.0,0.0,0.0,0.0,24910.0,2578.815000000001,5414.11695089513
TASA 59,COPETSA 1,4,T059,ENERO,900.0,4480.0,25770.0,0.0,0.0,0.0,2660.0,33810.0,1741.95,6916.107839328937
TASA 61,SEBASTIAN,2,T061,ENERO,630.0,0.0,22540.0,0.0,0.0,0.0,0.0,23170.0,2215.725,1.571073919943444
TASA 71,DON ABRAHAM,4,T071,ENERO,1110.0,2240.0,35900.0,0.0,0.0,4850.0,0.0,44100.0,3964.511,8239.679166174183
TASA 111,CAPLINA 8,1,T111,ABRIL,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,32.13816583935209
TASA 17,RIMAC 4,1,T017,ABRIL,352.0,0.0,1536.0,0.0,0.0,0.0,0.0,1888.0,717.7800000000001,1277.473534648026
TASA 21,LOBO I,3,T021,ABRIL,477.0,0.0,1583.0,0.0,0.0,0.0,0.0,2060.0,700.1899999999999,992.0553564534977
TASA 210,PIZARRO 10,3,T210,ABRIL,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,0.0,131.22136449721296
TASA 218,BRAVO 10,1,T218,ABRIL,1270.0,0.0,710.0,0.0,0.0,0.0,0.0,1980.0,123.445,1006.68214421355
TASA 22,MAYTE,3,T022,ABRIL,140.0,0.0,1627.0,0.0,0.0,0.0,0.0,1767.0,684.555,1094.927473123577
TASA 220,MACABI 3,1,T220,ABRIL,194.0,0.0,1770.0,0.0,0.0,0.0,0.0,1964.0,219.925,1058.858971356265
TASA 23,LOBO II,3,T023,ABRIL,830.0,0.0,1240.0,0.0,0.0,0.0,0.0,2070.0,574.6,1168.685834132186
TASA 31,JAYANCA,1,T031,ABRIL,220.0,0.0,1850.0,0.0,0.0,0.0,0.0,2070.0,620.095,883.9606280681477
TASA 310,ZAÑA,1,T310,ABRIL,4469.0,0.0,1691.0,0.0,0.0,0.0,0.0,6160.0,650.775,771.5918048472287
TASA 314,CONTUMAZA 4,1,T314,ABRIL,220.0,0.0,2730.0,0.0,0.0,0.0,0.0,2950.0,581.105,1097.4516463118218
TASA 315,BRAVO 7,1,T315,ABRIL,575.0,0.0,844.0,0.0,0.0,0.0,0.0,1419.0,462.77,417.5613419107802
TASA 32,PEGASO,3,T032,ABRIL,215.0,0.0,3365.0,0.0,0.0,0.0,0.0,3580.0,988.3,4.048247110351771
TASA 34,SAMOA,3,T034,ABRIL,160.0,0.0,2300.0,0.0,0.0,0.0,0.0,2460.0,512.18,1065.28670288291
TASA 35,PUNTA SAL,3,T035,ABRIL,1090.0,0.0,1990.0,0.0,0.0,0.0,0.0,3080.0,694.4649999999999,1097.4516463118218
TASA 36,FLAMINGO,3,T036,ABRIL,180.0,0.0,1130.0,0.0,0.0,0.0,0.0,1310.0,306.825,555.1939679645687
TASA 37,COSTA AZUL,3,T037,ABRIL,210.0,0.0,2340.0,0.0,0.0,0.0,0.0,2550.0,792.935,1383.549363921193
TASA 38,TARATA 3,3,T038,ABRIL,110.0,0.0,1985.0,0.0,0.0,0.0,0.0,2095.0,950.69,844.1141115935773
TASA 41,DON ANGEL,4,T041,ABRIL,1220.0,0.0,4090.0,0.0,0.0,0.0,0.0,5310.0,1055.135,807.5271451727328
TASA 411,SIPAN,2,T411,ABRIL,347.0,0.0,2770.0,0.0,0.0,0.0,0.0,3117.0,666.4100000000001,956.4888724709149
TASA 412,SECHIN II,2,T412,ABRIL,1050.0,0.0,1410.0,0.0,0.0,0.0,0.0,2460.0,698.98,656.4863138690798
TASA 413,OLMOS II,2,T413,ABRIL,564.0,0.0,1826.0,0.0,0.0,0.0,0.0,2390.0,609.125,1077.0232863940344
TASA 414,ESTRELLA,2,T414,ABRIL,150.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,90.4935648669634
TASA 415,INDEPENDENCIA I,2,T415,ABRIL,368.0,652.0,2255.0,0.0,0.0,0.0,0.0,3275.0,1107.75,1452.068889272208
TASA 416,SALKANTAY,2,T416,ABRIL,180.0,0.0,4300.0,0.0,0.0,0.0,0.0,4480.0,794.845,1253.023199943808
TASA 417,INANSA,2,T417,ABRIL,450.0,0.0,1440.0,0.0,0.0,0.0,0.0,1890.0,452.775,716.6366304173998
TASA 418,INDEPENDENCIA II,2,T418,ABRIL,220.0,0.0,1830.0,0.0,0.0,0.0,0.0,2050.0,940.46,587.5719163113409
TASA 419,DOÑA BEILA,4,T419,ABRIL,500.0,0.0,4180.0,0.0,0.0,0.0,0.0,4680.0,865.385,1111.106512552943
TASA 42,CARMEN LUISA,4,T042,ABRIL,1150.0,0.0,5050.0,0.0,0.0,0.0,0.0,6200.0,629.6400000000001,1437.870893773646
TASA 420,GUILLERMO,2,T420,ABRIL,230.0,0.0,3190.0,0.0,0.0,0.0,0.0,3420.0,828.225,1194.895790889899
TASA 424,BRAVO 4,3,T424,ABRIL,670.0,0.0,1230.0,0.0,0.0,0.0,0.0,1900.0,404.045,692.2240024902168
TASA 425,BRAVO 9,2,T425,ABRIL,1000.0,0.0,4420.0,0.0,0.0,0.0,0.0,5420.0,792.4850000000001,1229.0525207030907
TASA 426,DON ENRIQUE,3,T426,ABRIL,410.0,0.0,3590.0,0.0,0.0,0.0,0.0,4000.0,603.36,1298.0816150869682
TASA 427,ESTHER 7,4,T427,ABRIL,1300.0,150.0,1400.0,0.0,0.0,0.0,0.0,2850.0,229.77,653.3706464514237
TASA 43,TASA 43,2,T043,ABRIL,1050.0,730.0,3050.0,0.0,0.0,0.0,0.0,4830.0,991.995,1062.359387887358
TASA 44,TASA 44,2,T044,ABRIL,940.0,0.0,5360.0,0.0,0.0,0.0,0.0,6300.0,889.415,1072.612225092339
TASA 45,TASA 45,2,T045,ABRIL,850.0,0.0,5310.0,0.0,0.0,0.0,0.0,6160.0,1261.32,3137.8693464600624
TASA 51,SIPESA 63,4,T051,ABRIL,1440.0,0.0,7630.0,0.0,0.0,0.0,0.0,9070.0,1190.205,1706.967773688169
TASA 52,SIPESA 62,4,T052,ABRIL,2952.0,82.0,3552.0,0.0,0.0,0.0,0.0,6586.0,583.965,746.6812429006203
TASA 53,MARU 2,4,T053,ABRIL,1290.0,0.0,5410.0,0.0,0.0,0.0,0.0,6700.0,1092.865,1552.5436743761584
TASA 54,JAVIER,4,T054,ABRIL,1780.0,0.0,7013.0,0.0,0.0,0.0,0.0,8793.0,940.995,1426.5890710170472
TASA 55,TASA 55,4,T055,ABRIL,999.4,0.0,5580.0,0.0,0.0,0.0,0.0,6579.4,712.6700000000001,1408.157808541758
TASA 56,SANTA ENMA,4,T056,ABRIL,1210.0,0.0,4530.0,0.0,0.0,0.0,0.0,5740.0,1086.975,823.213335045787
TASA 57,COPETSA 4,4,T057,ABRIL,800.0,0.0,5050.0,0.0,0.0,0.0,0.0,5850.0,913.49,1181.411501617293
TASA 58,COPETSA 2,4,T058,ABRIL,860.0,0.0,5670.0,0.0,0.0,0.0,0.0,6530.0,1360.055,3505.2646349355423
