Embarcacion,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
TASA 310,ZAÑA,2,T310,DICIEMBRE,240.0,2250.0,7180.0,0.0,0.0,0.0,0.0,9670.0,2442.19,4482.503251463216
TASA 314,CONTUMAZA 4,1,T314,DICIEMBRE,3100.0,970.0,13620.0,0.0,0.0,0.0,0.0,17690.0,2181.635,4909.155865248473
TASA 315,BRAVO 7,3,T315,DICIEMBRE,15.0,679.0,9318.0,0.0,0.0,0.0,0.0,10012.0,2588.155,4410.484745031586
TASA 411,SIPAN,1,T411,DICIEMBRE,530.0,940.0,14270.0,0.0,0.0,0.0,0.0,15740.0,2758.64,5496.67851547455
TASA 412,SECHIN II,3,T412,DICIEMBRE,10.0,900.0,11757.0,0.0,0.0,0.0,0.0,12667.0,3622.960000000001,4775.902826206409
TASA 413,OLMOS II,2,T413,DICIEMBRE,35.0,525.0,13320.0,0.0,0.0,0.0,0.0,13880.0,3220.080000000001,5564.777902626191
TASA 414,ESTRELLA,2,T414,DICIEMBRE,395.0,570.0,11243.0,0.0,0.0,0.0,0.0,12208.0,3249.475,5248.031000752918
TASA 415,INDEPENDENCIA I,3,T415,DICIEMBRE,370.0,0.0,14820.0,0.0,0.0,0.0,0.0,15190.0,3034.694999999999,5415.496965318325
TASA 416,SALKANTAY,3,T416,DICIEMBRE,400.0,730.0,14400.0,0.0,0.0,0.0,0.0,15530.0,3166.155000000001,5772.451729653821
TASA 417,INANSA,1,T417,DICIEMBRE,140.0,0.0,14935.0,0.0,0.0,0.0,0.0,15075.0,3420.505,5776.451494006577
TASA 418,INDEPENDENCIA II,1,T418,DICIEMBRE,25.0,625.0,12915.0,0.0,0.0,0.0,0.0,13565.0,3176.880000000001,5061.855787470399
TASA 419,DOÑA BEILA,3,T419,DICIEMBRE,0.0,1000.0,26850.0,0.0,0.0,0.0,0.0,27850.0,4278.13,7446.906216008291
TASA 420,GUILLERMO,3,T420,DICIEMBRE,435.0,850.0,15915.0,0.0,0.0,0.0,0.0,17200.0,2692.265,6246.021239707227
TASA 424,BRAVO 4,1,T424,DICIEMBRE,300.0,840.0,11760.0,0.0,0.0,0.0,0.0,12900.0,3676.264999999999,5669.212628085904
TASA 425,BRAVO 9,3,T425,DICIEMBRE,370.0,550.0,18570.0,0.0,0.0,0.0,0.0,19490.0,3384.37,5646.586342638913
TASA 426,DON ENRIQUE,2,T426,DICIEMBRE,190.0,1020.0,11640.0,0.0,0.0,0.0,0.0,12850.0,2604.07,4641.227840971238
TASA 427,ESTHER 7,1,T427,DICIEMBRE,0.0,60.0,27440.0,0.0,0.0,0.0,0.0,27500.0,4268.394999999999,7336.709093025482
